epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,178.751,0.92371,4.02784,1.25413,0.55119,0.24723,0.24468,0.18479,0.82718,2.37914,1.21636,0.0099844,0.00332813,0.0099844,0.00332813,0.0099844,0.00332813,0.0099844,0.00332813
2,298.17,0.92901,2.47893,1.24128,0.52251,0.31422,0.2917,0.2222,0.85409,2.29735,1.20592,0.0197866,0.00659552,0.0197866,0.00659552,0.0197866,0.00659552,0.0197866,0.00659552
3,399.066,0.96316,2.27192,1.24876,0.48971,0.31532,0.31179,0.2313,0.902,2.07801,1.21635,0.0293907,0.0097969,0.0293907,0.0097969,0.0293907,0.0097969,0.0293907,0.0097969
4,490.346,0.96376,2.1331,1.23948,0.5684,0.37029,0.3959,0.30815,0.79577,1.77941,1.13515,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,582.37,0.91571,1.88973,1.21131,0.5686,0.45587,0.48395,0.38243,0.74572,1.47102,1.10005,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,676.105,0.87816,1.71339,1.18787,0.64044,0.45934,0.51077,0.40809,0.72237,1.37738,1.07369,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,770.11,0.84956,1.5534,1.16867,0.67007,0.44167,0.52033,0.42443,0.70629,1.34235,1.06985,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,865.327,0.82119,1.43445,1.15067,0.71671,0.48432,0.58889,0.4786,0.67401,1.21327,1.04969,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,963.57,0.80686,1.35927,1.14035,0.74622,0.51191,0.60075,0.49997,0.65012,1.11928,1.03585,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1058.36,0.79003,1.28589,1.13121,0.69162,0.52189,0.61588,0.51075,0.6329,1.07754,1.02575,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1153.01,0.77258,1.2263,1.11793,0.68845,0.54724,0.62459,0.52401,0.62989,1.05296,1.02989,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1247.93,0.76007,1.18695,1.11437,0.68964,0.56293,0.64248,0.53749,0.61944,1.0098,1.01907,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1341.92,0.75473,1.15066,1.11125,0.70974,0.56947,0.66412,0.5542,0.59242,0.96848,1.00066,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1435.75,0.73766,1.10857,1.1017,0.6782,0.591,0.65777,0.55619,0.59786,0.95862,1.00893,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1530.86,0.73229,1.0817,1.09914,0.67437,0.58141,0.65815,0.55391,0.59746,0.9846,1.01504,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
